0,3.14159,0,
1.11569,3.89894,0.439409,
2.22485,4.6513,0.877274,
3.33265,5.39955,1.31271,
4.44506,6.14499,1.74485,
5.56634,6.88925,2.17345,
6.69686,7.63416,2.59948,
7.8325,8.38151,3.02516,
8.96634,9.13282,3.45341,
10.0922,9.889,3.88672,
11.2075,10.6503,4.32631,
12.3142,11.4166,4.77182,
13.4175,12.1869,5.22165,
14.5237,12.9603,5.67358,
15.6376,13.7353,6.12543,
16.7612,14.5102,6.57564,
17.8922,15.2835,7.02366,
19.0252,16.0535,7.46985,
20.1541,16.8192,7.9149,
21.2749,17.5801,8.35914,
22.3876,18.3361,8.80216,
23.496,19.0879,9.24287,
24.6058,19.8364,9.67993,
25.7223,20.5829,10.1124,
26.848,21.329,10.5404,
27.981,22.0762,10.9654,
29.1156,22.8262,11.3902,
30.245,23.5799,11.8178,
31.3647,24.3379,12.2504,
32.4746,25.1003,12.689,
33.5785,25.8666,13.1328,
34.6825,26.6361,13.5802,
35.7925,27.4077,14.0294,
36.912,28.1803,14.4787,
38.0407,28.9523,14.9273,
39.1744,29.7225,15.3752,
40.3068,30.4896,15.8229,
41.4325,31.2532,16.2709,
42.5496,32.0128,16.7186,
43.6599,32.7689,17.1649,
44.7685,33.522,17.6082,
45.881,34.2728,18.0467,
47.0014,35.0225,18.4797,
48.1304,35.7724,18.9077,
49.264,36.5234,19.3326,
50.3958,37.2767,19.7575,
51.5199,38.0327,20.1851,
52.634,38.7917,20.6174,
53.74,39.5537,21.0548,
54.8433,40.3183,21.4964,
55.9503,41.085,21.941,
57.0657,41.8531,22.3869,
58.1911,42.6215,22.8334,
59.324,43.3893,23.2803,
60.4586,44.1556,23.7281,
61.5887,44.92,24.1774,
62.7104,45.6822,24.6279,
63.8238,46.4422,25.0787,
64.9325,47.2001,25.5278,
66.042,47.9563,25.9731,
67.1575,48.7114,26.413,
68.2816,49.4659,26.8468,
69.4125,50.2205,27.2754,
70.5451,50.9756,27.7012,
71.673,51.7317,28.1269,
72.7918,52.489,28.5552,
73.9013,53.2477,28.9873,
75.0056,54.0078,29.4234,
76.1106,54.7691,29.8626,
77.2222,55.5314,30.3039,
78.3438,56.2945,30.7463,
79.4746,57.0579,31.1898,
80.61,57.8212,31.635,
81.7434,58.5843,32.0828,
82.8696,59.347,32.5333,
83.9867,60.1093,32.986,
85.0968,60.8712,33.4391,
86.2047,61.6326,33.8902,
87.3161,62.3935,34.3371,
